bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,422281,46296544669871056941420699248284444214542462908504609781413823691153134924326
19,231,285636,99046646428726662628125900055565412978704772008000811791639001321009293945765
19,231,391243,32316332645989082618834862980879520209541579683767039560807581633525476397584
19,231,302731,27786911957491567081866862210815604050555487828857454131749508689572885512464
19,231,322319,14076552401163632680163185923150950713690694085358689945290573090895083493022
19,231,427394,11799589035324951210679971596593757302457728759485885166926644536629282936739
19,231,476454,109756626021879473929700904203159537814828998600004966931453412240756985070041
19,231,459687,74416801423406096671798271892033580457918511922841522561891624660427987199677
19,231,371237,16872404434899220787793416203441614291470485009293062795499202494944292680370
19,231,467795,106117102016003702671036336511152978475810619566109380135631994701227796656697
19,231,296377,99137520743031002407410461168518964605517023636306902909574518965600961224476
19,231,409388,26548306565222714840059638113200182723192542374150441524017408897399251087375
19,231,351282,2993340196662793676844318502369514208298215802612373726569896856504836840650
19,231,371492,60164873666617026539252134823804777581982481500775663283005413729355890547517
19,231,486021,103835682380118682501554965679960071819845274509346749396812332514401511326467
19,231,524077,30965628946116953569151688608681533600898718322415141346557761094050437975135
19,231,392729,100016530032917307233739027810001748710048772728384609117848935712174630124028
19,231,447428,80984488827330278538616055015084666124333630835877075251780466285291372571316
19,231,363270,103498428051625351201825232509706665043490443286883487968594798150949154404130
19,231,466948,93797950045024771898399158208814097617900137850426526463639859564292004660084
19,231,326493,3422736792230018101322480370302987563717824853616945327315046591323085433355
19,231,432280,112678911691204560689545741146933077316726558206230876402174677015095026171159
19,231,333641,110399583848528584121621567506423933027235845210516422497895804911617177588908
19,231,433766,79937495361690750238314633523370410588678954737710539177532275054043557822605
19,231,492624,36514183048340211549498452085548630897176219895274477485651806976333360458488
19,231,458859,67046136277518039364418722463471907002395513962281479962268203325879349329827
19,231,422106,4400169261055492763061135121308071815416341391346213679062006388659378928802
19,231,358431,73597843435514167654305796878519302516316912066823353532943519653954972467704
19,231,280308,20857368659716430943432970466740555064376083417229640257882961854103985510795
19,231,288359,4715692346959718254648860739359246216804948127403812201012112477759284808445
19,231,477305,66274887863627272535525370786777815796553380098309092636136047946274541784662
