bit_length,total_bits,random_multiplier,rhs_projection_ell
93,228,8455198646605056051224028737,31571910164947621206668936157860496207166099425144881186255105322390140339937
94,229,16544620423202641988320189519,114801925468110077878166336078830476483815971712149969168712173986434364617749
95,230,26585344630988282770323651674,115522198210403527395010177039599328945075477808493928786386751804713195377308
96,231,73937736295893250493755121154,98241894652687234448653651808099613345151211054574449136339516477766282039252
97,232,94085251509587128835376988135,111484683301402789661879914641863083722628505667531519396422026672950121305127
93,228,8006880280376486402003374090,46245106374643327954357282061116235237996899470690128083769835443071141127667
94,229,17500665089299651478420591270,113254350504542901860893544506651641175274494964933472077877818700810801911189
95,230,27618635167204227711951887120,37448344329688830040895170779172469074622622290800449262211504937410306169780
96,231,53999668187250667258548999034,113695040898002010455356807948981966379292211352462802994523052388774098302348
97,232,80241180589784257308492355161,1473129688152865667208721167702093488670386439509085513756129353645092074707
93,228,9772807477306086105159974922,102163128325795693700646686381204789012079523445435582684498330708101695399782
94,229,19272033002296125665846944688,77553046371092237043048881316772806340139266734863678640453712270322011312641
95,230,26855503899946416536022049745,43040561073482097662507697183743212111235899821192136574608988389889802536419
96,231,56987541503338791801364262243,62457607780507734000119682142303046373086476080975822235020250829278685095535
97,232,148247733294417780012987250673,8842250170651458538259539151483359725561640908235297533926668419474444362928
93,228,7994742211722049548232450736,86057954973725109187863631655696130207739128983780796152041770128692669300898
94,229,13933987415882900619358235462,106282280068971510898290384751704742467553610962996910801890556498057345454746
95,230,23188942756664286180843076145,20012532603377033229078087532538267938574538880102531556811524780137287229611
96,231,52442703921878457486596732502,23043189539372881704405856952291309914616073043149558038476430609279196708176
97,232,157803639524471047207150347654,39713212129096211849654045790592418256769859036079653337869867686182106323650
93,228,6396058188679314477109854869,25873734471206780405464252483728579454391179515203263423256739792106635021165
94,229,19226968247347204387697287210,35955071353148849446256877205969081388600817151214135130403636968910269709254
95,230,28895495842080460243054814871,74863809402725178007753146844180069071378553169563529827977927465308778330746
96,231,57053932121187607393169447407,95459856730473764509530855682680666157723333336947300691566109621829975001670
97,232,133326708966025200088637439193,71367112836784369237151968218801692210318766545596850751047734101141090895835
93,228,6919875217461047499747308838,4693141719495112932638268479265534424342172616680919604194937110630209237829
94,229,19221411404130760780164228042,46484793423732457188647517720938350901187163538449623620238634396337627656727
95,230,32987325084873184572438304148,75863889848155986064229566464918704541621345889535276069328309906120139411628
96,231,45537141090071431354221124593,111857526212143661013535167288400932351652673729569576096013881663348276129154
97,232,120668613138298960893145733944,20674065885199013662740346421041707796894707131001441081730752515459158962958
93,228,6806232711149288874296335581,6721680179795941113982443049277696382487886112188401474962325175741701163964
94,229,19536287486381488093337108766,96820440494756655674311127835830926938959619904756938363940153184981713237323
95,230,26356336375475920995533662132,81800517381600689823984129841164505487815479274105480459699377988015501479720
96,231,59059058245588101853749220319,108942212323489266244317133102752647764550442835534660806919686742205429814335
97,232,150029216496670462829685553222,55909534486920582134270720418391869607764370031275972408132153015387951367625
93,228,8580876019619560521074607732,46099195483746734596661607946078212886062338950348203564679529270842154729561
94,229,15505262149244525241510265154,54688499635909707093030371565918663232647690778358785398860529633204607276756
95,230,23022806546173380456462379820,97135973790322697900382438040926403590263379078284133932347303158969634019854
96,231,61322782313823369231241130964,33133998899115481256790104255139989204147961750374653502201645410075250506663
97,232,114205630791729314209559719366,37487090329347898713661311239957903747741676912373909955723014246779435199188
93,228,8053774887641640637624892084,113275591628310052743524702033513756500362960676770102520248317867666119049909
94,229,18834224994950011121985021841,75053016752527786177843622083725055656270309546992877524011846541233063497100
95,230,29253089642296658139522862413,110994186230297648728957629418283986626425743856558888600785319869425160437924
96,231,39975966887533161104014630208,70794473884370188280212430629233866965742520142894705553927315380654681173065
97,232,136242263213193455132015583923,2798019200865980125061534713955325480684244225535366185019720157908535048161
93,228,8402493635116215490725094590,10472431600844111053921279647319911483781912284708512803815990488139581865924
94,229,14978004754676974524962665048,34796693833872026253449886815467875418162190978453714160445932836998828503903
95,230,31974680519578576944585580734,8796787086392051157109519196710304197935021764540998892114811600304678181371
96,231,50355850357058160873765727854,80667433717036155219692614396339217594132001491113498939596531775704676401905
97,232,86363156139731216967829064055,56665979937005322394385906109746725363883256703604392516370964500337258247421
93,228,9047092260786049594531253302,32161298083890661379279960506278938145176902124955962855952627847243439456556
94,229,11793240123407152977030805855,98178032254828602615034278520464990991342952901249375324740757344795332687242
95,230,28275452276256554823126558716,28458688850368963090356333184474622998885557327192811804786579843505867235643
96,231,70350660525498583343426563072,96934730191123198703971547677285386160902541696995787486072795850915955961905
97,232,110088241190227615447739746301,114149629339039076983060546317926581771892111775812835886215857327611863434866
93,228,7226165141339679224445539024,5803501459077908753911749064308877206563890268482775285007962593021389391774
94,229,17845007961984758610706579883,15581772512946607725451821241579809246075992427739630528763907842880594920805
95,230,24981242728752368122284653627,88321522107434569071274760803434023156690316771751355525923965350614167895945
96,231,51117940189097789889923686161,6230905864453672993364565823645391733875794446933869813962873446747081535933
97,232,86646709923193097779642664189,77826713740422066852081149127357087987376894011069387042929628696913551416824
93,228,6160539005421004115002474764,10430672668107289045008217422520901202200730976963461321817658327923487163153
94,229,14280778902097692936096164941,108065970173023466769340377937883389716434281526245084241516457625958365307900
95,230,39544039659406337156296756727,106378732711099667283341451502846909043119288575622830987227301768024117482341
96,231,72601246317536440971474157202,105631169870383322632399173845756412494621205382355840138670273900941615143000
97,232,138284159799789725200155273589,21540803380473225898005462005259141328114714070165229892298478582265948947053
93,228,6245970794251241261191390105,17350135401905282016042227533055883247918955864514514904210283858676367952647
94,229,13600928893591774179271467420,76486056987451259328651852510935369181288939479636542642680323018999989001645
95,230,26580287431910456842535918437,84088700062088175660459491552351592185673646020299019916340096148814300276172
96,231,68064391620343377834996789561,66075664180790215718364753923175086426582871219932063153951807728613461963749
97,232,89260469592283800375817633829,40826773409544317253848665737164713885187385471787128283806681580123330615350
93,228,8790782818072584406442800498,89964161074613281916057136500254419359777376137655768409897679581770729497091
94,229,14023999745261571198276738859,41270341714401168847864995516179280425117058258973079857630865717642004588804
95,230,28073755771864917928295664176,85196585799793737424172335476479179423928577441442143516230052771375544656015
96,231,45297940800807290756896662361,26550454979951769996670229107691660543800280290939330185455803081850424010289
97,232,155660786191338127204627647702,803511144549288435535918251111858172018455187818807182462997416689277579518
93,228,5138696251371760100782239798,16082874209869115831837194870211374509798381112843511272347376944323059326675
94,229,19359296199093519942574791331,65987807097240731164976338472663496094723464960270705522752542506814393050392
95,230,34400318391476967499861853840,84833823192572913717718847757453216770181326868510394648314011848991020374260
96,231,46305754829046949451848442239,59658932892459973158272408895755149090593612367885570958703907308526579234660
97,232,95339479758909485944925441897,84715231706221016122506865097902515509781030398842979876339280347103533547265
93,228,6885328833717234369496204739,55021425564042112779950010866809608740109909913079819431999335090007008353460
94,229,15558015665265811688594900239,87902158825826996760877211807575384516430213025359507539577488291669087005552
95,230,34205866853317685263126017313,20650312601414196798453968127849144928460471069072847737515725440583248126320
96,231,57066296846696431139288092710,33334393993901601608583528380486876441220489610519927060851191563119508200818
97,232,90829580837420857463048135308,79349778326273117108806085270513007536890163970979921927606279226747205986989
93,228,7059359447370025686759472373,59333357047359267066993645237313751963212024858862526455843414408018837085623
94,229,10222207179611314810477626232,19156224325441780041293187817951738157773478113468581197134628653600554432636
95,230,34599933288476029477511205129,97983671006906970322784400847236523583435642218057227475229051943915818597535
96,231,61719756598580343295048091637,108214688112774164927446781506893269364622719114447890350055170190124179627425
97,232,135970473148921019974396411778,88007033252762589207331668218991832423272258329950419846790233923178207797284
93,228,7748972798734513068771722815,102699832234671677799623920345211762250522757663145219673403243336408289786732
94,229,14111353363689188570603058528,49837330071478207592631372678494330987583217593492565584640670273192623717688
95,230,34413661380486473103522353892,111296038750063140693596859553910532679765508974166367338003450405628922656916
96,231,71002268576191158426287061104,31805506253356816148631418026875011954322228649210317440812939949111325146334
97,232,87239346665108251430354104574,96752182491252522814594459113479903832285308693149862628043029524098820267260
93,228,8934588297791799413137623982,84994702682219021901250426308821433943851922737012759447627972731620042249138
